name,pos.clean,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.sh,assist1.sh,assist2.sh,points.sh,goals.en,assist1.en,assist2.en,points.en,goals.ps,goals.ev,assist1.ev,assist2.ev,points.ev,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,gfev,gaev,gfen,gaen,gfpp,gapp,gfsh,gash,team.GA.EV
Kevin Davis,D,Everett Silvertips,1997-03-14,71,178,10,32,23,65,2,21,14,37,1,0,0,1,0,1,0,1,0,7,10,9,26,2017 - 18 Regular Season,44,73,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,66,37,4,6,1,0,2,1,120
Keoni Texeira,D,Portland Winterhawks,1997-03-24,64,94,9,13,11,33,2,5,2,9,0,1,0,1,1,2,2,5,0,6,5,7,18,2017 - 18 Regular Season,52,57,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,46,46,7,4,0,0,4,2,136
Glenn Gawdin,F,Swift Current Broncos,1997-03-25,67,270,56,37,32,125,21,11,15,47,3,3,0,6,3,3,1,7,1,28,20,16,64,2017 - 18 Regular Season,51,111,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,94,45,11,2,0,0,6,4,138
Nick Chyzowski,F,Kamloops Blazers,1997-06-03,72,203,20,14,12,46,10,2,4,16,0,0,0,0,1,0,1,2,0,9,12,7,28,2017 - 18 Regular Season,69,48,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,45,54,2,10,0,0,1,5,147
Jayden Halbgewachs,F,Moose Jaw Warriors,1997-03-22,72,290,70,39,20,129,27,7,5,39,2,0,0,2,5,0,1,6,0,36,32,14,82,2017 - 18 Regular Season,72,115,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,104,64,8,3,0,0,3,5,147
Aaron Boyd,F,Prince George Cougars,1997-05-24,67,162,14,14,10,38,0,1,2,3,2,0,0,2,0,1,0,1,0,12,12,8,32,2017 - 18 Regular Season,53,50,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,45,46,2,3,0,0,3,4,201
Brad Morrison,F,Lethbridge Hurricanes,1997-01-04,74,170,27,31,17,75,11,9,4,24,0,0,0,0,0,4,1,5,0,16,18,12,46,2017 - 18 Regular Season,71,61,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,57,53,4,8,0,0,0,10,163
Tate Olson,D,Lethbridge Hurricanes,1997-03-21,54,112,2,10,12,24,1,3,5,9,0,0,0,0,0,0,1,1,0,1,7,6,14,2017 - 18 Regular Season,60,47,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,43,50,4,7,0,0,0,3,163
Tyler Soy,F,Victoria Royals,1997-02-10,66,164,36,35,21,92,12,14,12,38,4,1,0,5,0,0,0,0,0,20,20,9,49,2017 - 18 Regular Season,59,74,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,67,44,0,10,0,0,7,5,159
Austin Strand,D,Seattle Thunderbirds,1997-02-17,69,201,25,18,21,64,14,5,9,28,0,0,0,0,0,2,0,2,0,11,11,12,34,2017 - 18 Regular Season,83,81,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,77,71,3,9,0,0,1,3,170
Brayden Burke,F,Moose Jaw Warriors,1997-01-01,61,179,31,47,35,113,5,17,20,42,2,2,0,4,2,0,0,2,0,22,28,15,65,2017 - 18 Regular Season,41,85,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,78,36,3,2,0,0,4,3,147
Grayson Pawlenchuk,F,Red Deer Rebels,1997-03-22,72,195,18,19,15,52,4,9,9,22,0,0,0,0,0,0,1,1,0,14,10,5,29,2017 - 18 Regular Season,62,54,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,51,48,2,8,0,0,1,6,162
Matt Bradley,F,Regina Pats,1997-01-22,72,305,37,26,16,79,8,7,11,26,1,1,0,2,2,1,0,3,1,25,17,5,47,2017 - 18 Regular Season,66,68,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,61,52,5,8,0,0,2,6,139
Giorgio Estephan,F,Lethbridge Hurricanes,1997-02-03,69,203,30,27,29,86,16,11,12,39,0,0,0,0,1,2,0,3,0,13,14,17,44,2017 - 18 Regular Season,69,60,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,56,53,4,10,0,0,0,6,163
Matteo Gennaro,F,Calgary Hitmen,1997-03-30,67,265,42,23,14,79,16,4,7,27,2,0,0,2,1,0,1,2,0,23,19,6,48,2017 - 18 Regular Season,50,64,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,57,44,4,4,0,0,3,2,178
Brady Reagan,D,Calgary Hitmen,1997-08-14,66,85,2,10,2,14,0,4,0,4,0,0,0,0,0,1,0,1,0,2,5,2,9,2017 - 18 Regular Season,48,43,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,38,44,4,2,0,0,1,2,178
